1	2	-92.50
1	5	-84.84
1	12	-85.22
1	19	-87.99
1	21	-84.00
1	22	-87.79
1	23	-87.38
1	24	-87.96
2	1	-92.50
2	3	-91.36
2	4	-94.37
2	5	-82.85
2	6	-87.62
2	7	-91.69
2	8	-92.78
2	10	-93.32
2	14	-92.28
2	15	-92.86
2	17	-93.90
2	18	-77.85
2	19	-84.38
2	20	-92.89
2	22	-75.29
2	23	-83.31
2	24	-74.07
2	25	-92.22
3	2	-91.36
3	5	-88.42
3	6	-86.21
3	7	-57.01
3	9	-78.49
3	10	-94.66
3	17	-94.00
3	19	-84.14
3	22	-92.67
3	23	-85.43
3	24	-90.61
4	2	-94.37
4	8	-93.99
4	12	-90.00
4	13	-90.20
4	15	-85.22
4	18	-91.50
4	21	-90.95
4	22	-92.35
4	24	-94.20
4	25	-83.36
5	1	-84.84
5	2	-82.85
5	3	-88.42
5	6	-91.55
5	7	-87.92
5	9	-94.23
5	12	-92.70
5	18	-89.83
5	19	-69.10
5	21	-92.38
5	22	-77.85
5	23	-64.51
5	24	-73.13
6	2	-87.62
6	3	-86.21
6	5	-91.55
6	7	-87.80
6	9	-89.32
6	10	-83.59
6	14	-93.33
6	17	-82.95
6	18	-91.47
6	19	-89.62
6	20	-92.44
6	22	-92.03
6	23	-89.87
6	24	-90.47
7	2	-91.69
7	3	-57.01
7	5	-87.92
7	6	-87.80
7	9	-79.70
7	19	-83.43
7	22	-92.63
7	23	-84.86
7	24	-90.55
8	2	-92.78
8	4	-93.99
8	11	-74.88
8	13	-81.78
8	14	-81.68
8	15	-83.31
8	16	-90.60
8	18	-86.91
8	20	-85.69
8	22	-94.86
8	25	-84.84
9	3	-78.49
9	5	-94.23
9	6	-89.32
9	7	-79.70
9	17	-94.42
9	19	-91.51
9	23	-92.31
10	2	-93.32
10	3	-94.66
10	6	-83.59
10	14	-89.91
10	16	-92.29
10	17	-61.55
10	18	-94.06
10	20	-87.58
11	8	-74.88
11	13	-79.24
11	14	-86.72
11	15	-85.38
11	16	-91.23
11	18	-91.86
11	20	-89.45
11	25	-87.15
12	1	-85.22
12	4	-90.00
12	5	-92.70
12	21	-52.83
12	22	-91.28
12	23	-94.56
12	24	-92.63
13	4	-90.20
13	8	-81.78
13	11	-79.24
13	14	-91.66
13	15	-75.40
13	18	-91.13
13	20	-93.80
13	25	-78.87
14	2	-92.28
14	6	-93.33
14	8	-81.68
14	10	-89.91
14	11	-86.72
14	13	-91.66
14	15	-91.89
14	16	-83.69
14	17	-91.75
14	18	-88.44
14	20	-65.50
14	25	-92.47
15	2	-92.86
15	4	-85.22
15	8	-83.31
15	11	-85.38
15	13	-75.40
15	14	-91.89
15	18	-87.09
15	20	-93.95
15	22	-93.12
15	24	-94.60
15	25	-57.15
16	8	-90.60
16	10	-92.29
16	11	-91.23
16	14	-83.69
16	17	-93.75
16	20	-81.87
17	2	-93.90
17	3	-94.00
17	6	-82.95
17	9	-94.42
17	10	-61.55
17	14	-91.75
17	16	-93.75
17	18	-94.99
17	20	-89.74
18	2	-77.85
18	4	-91.50
18	5	-89.83
18	6	-91.47
18	8	-86.91
18	10	-94.06
18	11	-91.86
18	13	-91.13
18	14	-88.44
18	15	-87.09
18	17	-94.99
18	19	-91.29
18	20	-90.02
18	22	-82.85
18	23	-90.57
18	24	-84.49
18	25	-86.40
19	1	-87.99
19	2	-84.38
19	3	-84.14
19	5	-69.10
19	6	-89.62
19	7	-83.43
19	9	-91.51
19	18	-91.29
19	21	-94.84
19	22	-82.91
19	23	-51.76
19	24	-78.82
20	2	-92.89
20	6	-92.44
20	8	-85.69
20	10	-87.58
20	11	-89.45
20	13	-93.80
20	14	-65.50
20	15	-93.95
20	16	-81.87
20	17	-89.74
20	18	-90.02
20	25	-94.42
21	1	-84.00
21	4	-90.95
21	5	-92.38
21	12	-52.83
21	19	-94.84
21	22	-91.28
21	23	-94.26
21	24	-92.54
22	1	-87.79
22	2	-75.29
22	3	-92.67
22	4	-92.35
22	5	-77.85
22	6	-92.03
22	7	-92.63
22	8	-94.86
22	12	-91.28
22	15	-93.12
22	18	-82.85
22	19	-82.91
22	21	-91.28
22	23	-81.22
22	24	-63.90
22	25	-92.21
23	1	-87.38
23	2	-83.31
23	3	-85.43
23	5	-64.51
23	6	-89.87
23	7	-84.86
23	9	-92.31
23	12	-94.56
23	18	-90.57
23	19	-51.76
23	21	-94.26
23	22	-81.22
23	24	-76.61
24	1	-87.96
24	2	-74.07
24	3	-90.61
24	4	-94.20
24	5	-73.13
24	6	-90.47
24	7	-90.55
24	12	-92.63
24	15	-94.60
24	18	-84.49
24	19	-78.82
24	21	-92.54
24	22	-63.90
24	23	-76.61
24	25	-93.83
25	2	-92.22
25	4	-83.36
25	8	-84.84
25	11	-87.15
25	13	-78.87
25	14	-92.47
25	15	-57.15
25	18	-86.40
25	20	-94.42
25	22	-92.21
25	24	-93.83
